StartTime: 2022-02-28 22:44:48.697
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 22:44:48.697	0.3521	0.0400	0.9111	2.1362	-0.9766	0.4883	1.6315	-20.1929	-76.3824	23.97	0	0	0
0x50	 22:44:48.697	0.3521	0.0400	0.9111	2.1362	-0.9766	0.4883	1.6425	-20.1984	-76.3824	23.97	0	0	0
0x50	 22:44:48.697	0.3521	0.0400	0.9111	2.1362	-0.9766	0.4883	1.6534	-20.2094	-76.3770	23.97	0	0	0
0x50	 22:44:48.697	0.3569	0.0366	0.9189	-0.9766	-0.6714	-0.0610	1.6479	-20.2148	-76.3770	23.95	0	0	0
0x50	 22:44:48.701	0.3569	0.0366	0.9189	-0.9766	-0.6714	-0.0610	1.6479	-20.2203	-76.3770	23.95	0	0	0
0x50	 22:44:48.706	0.3569	0.0366	0.9189	-0.9766	-0.6714	-0.0610	1.6425	-20.2258	-76.3824	23.95	0	0	0
0x50	 22:44:48.711	0.3569	0.0366	0.9189	-0.9766	-0.6714	-0.0610	1.6370	-20.2313	-76.3824	23.95	0	0	0
0x50	 22:44:48.716	0.3560	0.0342	0.9302	-1.1597	1.3428	-0.1221	1.6370	-20.2258	-76.3824	23.99	0	0	0
0x50	 22:44:48.720	0.3560	0.0342	0.9302	-1.1597	1.3428	-0.1221	1.6315	-20.2203	-76.3824	23.99	0	0	0
0x50	 22:44:48.726	0.3560	0.0342	0.9302	-1.1597	1.3428	-0.1221	1.6260	-20.2148	-76.3824	23.99	0	0	0
0x50	 22:44:48.731	0.3560	0.0342	0.9302	-1.1597	1.3428	-0.1221	1.6260	-20.2148	-76.3824	23.99	0	0	0
0x50	 22:44:48.735	0.3477	0.0317	0.9253	-1.7700	6.6528	0.4883	1.6150	-20.1819	-76.3770	23.98	0	0	0
0x50	 22:44:48.740	0.3477	0.0317	0.9253	-1.7700	6.6528	0.4883	1.6040	-20.1489	-76.3770	23.98	0	0	0
0x50	 22:44:48.746	0.3477	0.0317	0.9253	-1.7700	6.6528	0.4883	1.5985	-20.1215	-76.3715	23.98	0	0	0
0x50	 22:44:48.751	0.3477	0.0317	0.9253	-1.7700	6.6528	0.4883	1.5875	-20.0885	-76.3660	23.98	0	0	0
0x50	 22:44:48.756	0.3564	0.0332	0.9458	-1.4038	6.1035	0.7935	1.5820	-20.0610	-76.3605	23.97	0	0	0
0x50	 22:44:48.760	0.3564	0.0332	0.9458	-1.4038	6.1035	0.7935	1.5765	-20.0336	-76.3550	23.97	0	0	0
0x50	 22:44:48.766	0.3564	0.0332	0.9458	-1.4038	6.1035	0.7935	1.5656	-20.0061	-76.3495	23.97	0	0	0
0x50	 22:44:48.771	0.3564	0.0332	0.9458	-1.4038	6.1035	0.7935	1.5601	-19.9786	-76.3440	23.97	0	0	0
0x50	 22:44:48.794	0.3555	0.0366	0.9380	-0.5493	0.9766	-0.4883	1.5601	-19.9786	-76.3495	23.97	0	0	0
0x50	 22:44:48.794	0.3555	0.0366	0.9380	-0.5493	0.9766	-0.4883	1.5601	-19.9731	-76.3495	23.97	0	0	0
0x50	 22:44:48.794	0.3555	0.0366	0.9380	-0.5493	0.9766	-0.4883	1.5601	-19.9731	-76.3550	23.97	0	0	0
0x50	 22:44:48.794	0.3555	0.0366	0.9380	-0.5493	0.9766	-0.4883	1.5601	-19.9677	-76.3550	23.97	0	0	0
0x50	 22:44:48.796	0.3447	0.0356	0.9321	0.2441	-3.4790	-1.0986	1.5656	-19.9896	-76.3605	23.93	0	0	0
0x50	 22:44:48.801	0.3447	0.0356	0.9321	0.2441	-3.4790	-1.0986	1.5710	-20.0061	-76.3660	23.93	0	0	0
0x50	 22:44:48.806	0.3447	0.0356	0.9321	0.2441	-3.4790	-1.0986	1.5765	-20.0281	-76.3770	23.93	0	0	0
0x50	 22:44:48.811	0.3447	0.0356	0.9321	0.2441	-3.4790	-1.0986	1.5820	-20.0500	-76.3824	23.93	0	0	0
0x50	 22:44:48.816	0.3496	0.0366	0.9258	-1.1597	-2.4414	-0.4883	1.5765	-20.0610	-76.3824	23.95	0	0	0
0x50	 22:44:48.821	0.3496	0.0366	0.9258	-1.1597	-2.4414	-0.4883	1.5765	-20.0775	-76.3879	23.95	0	0	0
0x50	 22:44:48.825	0.3496	0.0366	0.9258	-1.1597	-2.4414	-0.4883	1.5710	-20.0885	-76.3879	23.95	0	0	0
0x50	 22:44:48.831	0.3496	0.0366	0.9258	-1.1597	-2.4414	-0.4883	1.5710	-20.1050	-76.3934	23.95	0	0	0
0x50	 22:44:48.836	0.3506	0.0356	0.9238	-1.7090	2.0142	0.0610	1.5601	-20.0940	-76.3934	23.95	0	0	0
0x50	 22:44:48.840	0.3506	0.0356	0.9238	-1.7090	2.0142	0.0610	1.5546	-20.0885	-76.3934	23.95	0	0	0
0x50	 22:44:48.845	0.3506	0.0356	0.9238	-1.7090	2.0142	0.0610	1.5491	-20.0775	-76.3879	23.95	0	0	0
0x50	 22:44:48.850	0.3506	0.0356	0.9238	-1.7090	2.0142	0.0610	1.5436	-20.0720	-76.3879	23.95	0	0	0
0x50	 22:44:48.855	0.3560	0.0347	0.9404	-2.3804	2.0752	-0.4272	1.5326	-20.0610	-76.3934	24.00	0	0	0
0x50	 22:44:48.860	0.3560	0.0347	0.9404	-2.3804	2.0752	-0.4272	1.5216	-20.0555	-76.3934	24.00	0	0	0
0x50	 22:44:48.865	0.3560	0.0347	0.9404	-2.3804	2.0752	-0.4272	1.5161	-20.0446	-76.3934	24.00	0	0	0
0x50	 22:44:48.870	0.3560	0.0347	0.9404	-2.3804	2.0752	-0.4272	1.5051	-20.0391	-76.3989	24.00	0	0	0
0x50	 22:44:48.875	0.3550	0.0337	0.9463	0.0610	0.8545	0.2441	1.5051	-20.0336	-76.3934	23.95	0	0	0
0x50	 22:44:48.880	0.3550	0.0337	0.9463	0.0610	0.8545	0.2441	1.5051	-20.0336	-76.3934	23.95	0	0	0
0x50	 22:44:48.885	0.3550	0.0337	0.9463	0.0610	0.8545	0.2441	1.5106	-20.0336	-76.3934	23.95	0	0	0
0x50	 22:44:48.890	0.3550	0.0337	0.9463	0.0610	0.8545	0.2441	1.5106	-20.0281	-76.3934	23.95	0	0	0
0x50	 22:44:48.895	0.3491	0.0332	0.9321	0.1831	-1.7700	-0.4272	1.5161	-20.0391	-76.3934	23.95	0	0	0
0x50	 22:44:48.899	0.3491	0.0332	0.9321	0.1831	-1.7700	-0.4272	1.5161	-20.0500	-76.3989	23.95	0	0	0
0x50	 22:44:48.905	0.3491	0.0332	0.9321	0.1831	-1.7700	-0.4272	1.5216	-20.0610	-76.3989	23.95	0	0	0
0x50	 22:44:48.910	0.3491	0.0332	0.9321	0.1831	-1.7700	-0.4272	1.5271	-20.0720	-76.3989	23.95	0	0	0
0x50	 22:44:48.914	0.3428	0.0332	0.9248	-0.1221	0.3052	0.0000	1.5271	-20.0720	-76.3989	23.94	0	0	0
0x50	 22:44:48.919	0.3428	0.0332	0.9248	-0.1221	0.3052	0.0000	1.5271	-20.0720	-76.3989	23.94	0	0	0
0x50	 22:44:48.924	0.3428	0.0332	0.9248	-0.1221	0.3052	0.0000	1.5271	-20.0720	-76.3989	23.94	0	0	0
0x50	 22:44:48.929	0.3428	0.0332	0.9248	-0.1221	0.3052	0.0000	1.5326	-20.0720	-76.3989	23.94	0	0	0
0x50	 22:44:48.934	0.3501	0.0356	0.9355	-1.1597	0.4272	0.2441	1.5271	-20.0720	-76.3989	23.97	0	0	0
0x50	 22:44:48.939	0.3501	0.0356	0.9355	-1.1597	0.4272	0.2441	1.5216	-20.0720	-76.3989	23.97	0	0	0
0x50	 22:44:48.944	0.3501	0.0356	0.9355	-1.1597	0.4272	0.2441	1.5161	-20.0720	-76.3989	23.97	0	0	0
0x50	 22:44:48.949	0.3501	0.0356	0.9355	-1.1597	0.4272	0.2441	1.5106	-20.0720	-76.3934	23.97	0	0	0
0x50	 22:44:48.954	0.3530	0.0342	0.9360	-0.1221	-1.0986	0.0610	1.5161	-20.0775	-76.3934	23.95	0	0	0
0x50	 22:44:48.959	0.3530	0.0342	0.9360	-0.1221	-1.0986	0.0610	1.5161	-20.0830	-76.3934	23.95	0	0	0
0x50	 22:44:48.964	0.3530	0.0342	0.9360	-0.1221	-1.0986	0.0610	1.5161	-20.0940	-76.3934	23.95	0	0	0
0x50	 22:44:48.969	0.3530	0.0342	0.9360	-0.1221	-1.0986	0.0610	1.5161	-20.0995	-76.3934	23.95	0	0	0
0x50	 22:44:48.974	0.3530	0.0347	0.9297	-0.9155	-1.9531	-0.1831	1.5161	-20.1105	-76.3934	23.97	0	0	0
0x50	 22:44:48.995	0.3530	0.0347	0.9297	-0.9155	-1.9531	-0.1831	1.5106	-20.1215	-76.3989	23.97	0	0	0
0x50	 22:44:48.995	0.3530	0.0347	0.9297	-0.9155	-1.9531	-0.1831	1.5106	-20.1324	-76.3989	23.97	0	0	0
0x50	 22:44:48.995	0.3530	0.0347	0.9297	-0.9155	-1.9531	-0.1831	1.5106	-20.1434	-76.3989	23.97	0	0	0
0x50	 22:44:48.995	0.3569	0.0313	0.9468	-0.1221	-3.5400	-0.1221	1.5106	-20.1599	-76.3989	24.00	0	0	0
0x50	 22:44:48.999	0.3569	0.0313	0.9468	-0.1221	-3.5400	-0.1221	1.5106	-20.1819	-76.3989	24.00	0	0	0
0x50	 22:44:49.004	0.3569	0.0313	0.9468	-0.1221	-3.5400	-0.1221	1.5106	-20.1984	-76.4044	24.00	0	0	0
0x50	 22:44:49.009	0.3569	0.0313	0.9468	-0.1221	-3.5400	-0.1221	1.5161	-20.2203	-76.4044	24.00	0	0	0
